
[2022-10-31T11:11:04.298] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:05.859] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:07.339] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:08.923] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:10.439] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:11.897] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20iniciar%20sesi%C3%B3n%20usuario/contrase%C3%B1a%20incorrecta, Metodo GET
[2022-10-31T11:11:12.019] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20iniciar%20sesi%C3%B3n%20usuario/template1.css, Metodo GET
[2022-10-31T11:11:12.216] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:58.217] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:12:02.317] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:12:02.489] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:12:04.773] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:12:22.551] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:13:02.534] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:14:44.334] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:14:44.888] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:16:07.578] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:23:39.196] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:23:40.575] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:24:07.818] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:25:08.689] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:25:10.079] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:25:12.127] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
